id	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000048740.18	CELF2	2411.25832164144	-9.19758898647274	0.69857528838125	-13.1662100555912	1.3731977862565e-39	3.31368867948047e-37
ENSG00000160201.11	U2AF1	182.801620298859	-4.00816232495788	0.391380261041937	-10.2410947202276	1.29759736973228e-24	1.11147634242488e-22
ENSG00000076770.14	MBNL3	968.999121116182	-7.84025378222807	0.810759189058932	-9.67026200631589	4.03344123726651e-22	2.8464933410923e-20
ENSG00000112531.16	QKI	15006.8559697373	-2.87371968873795	0.359302881837184	-7.99804241492325	1.26412830280538e-15	4.43488970946601e-14
ENSG00000154548.8	SRSF12	151.085459347928	-8.9474136332019	1.16111622604838	-7.70587253237563	1.29952292897841e-14	4.03373355077919e-13
ENSG00000109819.8	PPARGC1A	749.137830867408	-8.1247058503903	1.07354678833463	-7.56809664811533	3.78732184949994e-14	1.1110467574703e-12
ENSG00000144231.10	POLR2D	1244.51667445714	-1.88463848498456	0.280212276066402	-6.72575274517224	1.74686981884426e-11	3.73009062554737e-10
ENSG00000164610.8	RP9	556.178395734525	-2.60265159577829	0.396113457976509	-6.57047000895546	5.01566861938327e-11	9.9612066509911e-10
ENSG00000139910.19	NOVA1	2758.219582977	-3.14922289006827	0.511993704989653	-6.15090158214331	7.70437186311207e-10	1.31085302010585e-08
ENSG00000169062.14	UPF3A	1762.85044643472	-1.59388047461262	0.292917322219058	-5.4414005376597	5.28633054654306e-08	6.91754111519063e-07
ENSG00000116001.15	TIA1	4475.77164654571	-1.92784844064155	0.374518964970682	-5.14753222388209	2.63935674616997e-07	3.08985102230289e-06
ENSG00000113240.12	CLK4	1038.56333289761	-1.9412239010782	0.379106305523649	-5.12052654570553	3.04683722091719e-07	3.54102127974229e-06
ENSG00000100461.17	RBM23	1551.78383606958	-1.47130468004031	0.292609029971132	-5.02822718829104	4.95035163677184e-07	5.5715040838733e-06
ENSG00000159140.19	SON	11829.5786215769	-1.19079563017205	0.241113308690637	-4.93873870604095	7.86294863444248e-07	8.55357698759855e-06
ENSG00000106355.9	LSM5	1962.21354671663	-1.22554557176035	0.252472066935631	-4.85418282757119	1.20884174058844e-06	1.26121926277479e-05
ENSG00000144642.21	RBMS3	308.058628215716	-2.08481520672961	0.448190404233691	-4.65162838614137	3.29324143234328e-06	3.14899549316779e-05
ENSG00000124193.14	SRSF6	5733.15346703168	-1.1357065907259	0.246747819691669	-4.60270162526687	4.17045497353053e-06	3.90949667986517e-05
ENSG00000082258.12	CCNT2	1802.61838014516	-1.49950859772636	0.3276354803485	-4.57675889110471	4.72235199448289e-06	4.37660716522161e-05
ENSG00000116560.10	SFPQ	14865.547078997	-1.30193511593349	0.284896492278133	-4.56985309128502	4.88066221761557e-06	4.50933806042523e-05
ENSG00000065457.10	ADAT1	657.826299113525	-1.50265219679687	0.333588780079771	-4.50450460725191	6.65279546735475e-06	6.01296962860956e-05
ENSG00000162664.16	ZNF326	1959.97689051907	-1.54857091555603	0.357068796752188	-4.33689790214508	1.44507706763891e-05	0.000121644484440932
ENSG00000117569.18	PTBP2	989.008357701749	-1.71189802023586	0.40226932813395	-4.2556016591596	2.0848760729168e-05	0.000169340531409333
ENSG00000007392.16	LUC7L	2026.12928714893	-1.20426389092865	0.283066073922643	-4.25435614462847	2.09651390540628e-05	0.000170029686694661
ENSG00000205571.13	SMN2	122.406831213674	-4.57796846677211	1.08484515555365	-4.21992801768632	2.44380335083675e-05	0.00019455067328655
ENSG00000135250.16	SRPK2	3192.00609799109	-1.23621397753981	0.304534145501671	-4.05936081651319	4.92072279095303e-05	0.000362782065947989
ENSG00000150459.12	SAP18	1857.17701272071	-1.21132309073909	0.301385554475562	-4.01918098844155	5.84007971635823e-05	0.000421560209052786
ENSG00000122566.20	HNRNPA2B1	49714.1813840707	-1.12557747756493	0.291170840674125	-3.86569436334685	0.000110773590298753	0.000740757125591362
ENSG00000156304.14	SCAF4	2119.10519505339	-1.02935009099716	0.270498408338372	-3.80538317145855	0.00014158483272573	0.000915426913290356
ENSG00000184209.14	SNRNP35	444.897718760178	-1.11665539937502	0.298187926674346	-3.74480419723541	0.000180534517390937	0.00113235205122622
ENSG00000089280.18	FUS	13998.2387671653	-1.19997906716128	0.321986137331968	-3.72680351118378	0.000193923517631802	0.00120688618488433
ENSG00000070366.13	SMG6	783.836318302163	-1.28004441832351	0.367344122286233	-3.48459207774149	0.000492887841207474	0.00274680629063276
ENSG00000100227.17	POLDIP3	3392.41776463557	-1.18458290034719	0.352891256268598	-3.35679300437402	0.000788521221806238	0.00411630454984312
ENSG00000005075.15	POLR2J	965.327522582396	-1.08390905583061	0.38223823466512	-2.83568978069455	0.00457268382720737	0.0184234668593072
ENSG00000013441.15	CLK1	2830.59682295987	-1.1212362143308	0.396694086950312	-2.8264505350977	0.0047067012744166	0.0188587377254878
ENSG00000157110.15	RBPMS	926.830482075912	-2.56712388034227	0.958640509599991	-2.67787961663903	0.00740898418343028	0.0274211965262816
