ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1640	"ENSG00000234741.7"	"GAS5"	chr1	-	173866527	173866796	173866527	173866567	173867959	173867989	1640	1455,1566,2377	0,0,0	251,287,1441	0,0,77	329	100	0.0	0.0	1.0,1.0,1.0	1.0,1.0,0.85	0.05
2398	"ENSG00000163584.17"	"RPL22L1"	chr3	-	170868012	170868201	170868012	170868134	170868297	170868390	2398	633,543,411	44,101,92	63,85,170	559,388,160	167	100	0.0	0.0	0.896,0.763,0.728	0.063,0.116,0.389	0.606
2963	"ENSG00000117616.17"	"RSRP1"	chr1	-	25243549	25244224	25243549	25243633	25245149	25245301	2963	1142,1522,1437	51,40,25	1157,1676,1649	4,4,5	691	100	0.0	0.0	0.764,0.846,0.893	0.977,0.984,0.979	-0.146
5071	"ENSG00000070087.13"	"PFN2"	chr3	-	149964903	149966586	149964903	149966264	149968357	149968550	5071	1368,1533,1950	237,193,210	554,548,779	551,498,354	422	100	0.0	0.0	0.578,0.653,0.688	0.192,0.207,0.343	0.392
6107	"ENSG00000156504.16"	"FAM122B"	chrX	-	134769566	134772283	134769566	134771354	134781820	134781917	6107	424,812,415	13,18,23	978,1014,1350	2,2,2	1029	100	0.0	0.0	0.76,0.814,0.637	0.979,0.98,0.985	-0.244
8174	"ENSG00000112531.16"	"QKI"	chr6	+	163565945	163566795	163566720	163566795	163563419	163563719	8174	108,134,90	68,63,47	3789,5728,3795	123,147,231	875	100	0.0	0.0	0.154,0.196,0.18	0.779,0.817,0.652	-0.573
8740	"ENSG00000109046.14"	"WSB1"	chr17	+	27307743	27309272	27309099	27309272	27306781	27306882	8740	1323,2079,2402	24,55,35	13108,23045,7191	51,14,46	1456	100	0.0	0.0	0.791,0.722,0.825	0.946,0.991,0.915	-0.171
2884	"ENSG00000182196.13"	"ARL6IP4"	chr12	+	122981570	122981879	122981594	122981879	122981128	122981299	2884	16,14,25	110,62,77	118,82,68	100,69,83	124	100	8.881784197e-16	5.85753667792e-13	0.105,0.154,0.208	0.488,0.489,0.398	-0.303
5787	"ENSG00000089091.16"	"DZANK1"	chr20	-	18412645	18412853	18412645	18412835	18414347	18414512	5787	1,1,1	2,3,7	15,8,8	0,0,0	118	100	2.10942374679e-15	1.23659107645e-12	0.298,0.22,0.108	1.0,1.0,1.0	-0.791
588	"ENSG00000198721.12"	"ECI2"	chr6	-	4117307	4119275	4117307	4117451	4125249	4126237	588	759,848,524	1,1,1	405,476,386	10,17,10	1924	100	4.66293670343e-15	2.46016540473e-12	0.975,0.978,0.965	0.678,0.593,0.667	0.327
7129	"ENSG00000166582.9"	"CENPV"	chr17	-	16348615	16349333	16348615	16348685	16349930	16350029	7129	212,265,217	79,103,91	37,46,56	0,0,2	748	100	5.77315972805e-15	2.76901733865e-12	0.264,0.256,0.242	1.0,1.0,0.789	-0.676
657	"ENSG00000089053.12"	"ANAPC5"	chr12	-	121328315	121328497	121328315	121328458	121330582	121330672	657	471,619,552	55,69,94	121,92,209	55,35,73	139	100	1.25677246388e-13	5.52560959953e-11	0.86,0.866,0.809	0.613,0.654,0.673	0.198
7493	"ENSG00000197111.15"	"PCBP2"	chr12	+	53459799	53461143	53461014	53461143	53459271	53459403	7493	107,120,115	1178,964,829	449,234,254	1488,1025,860	1315	100	2.1460611066e-13	8.70970646032e-11	0.007,0.009,0.01	0.022,0.017,0.022	-0.012
6115	"ENSG00000099622.13"	"CIRBP"	chr19	+	1270866	1271036	1270927	1271036	1269330	1269410	6115	127,73,108	370,250,467	189,171,113	2307,1286,605	161	100	3.88689080921e-13	1.46480256496e-10	0.176,0.154,0.126	0.048,0.076,0.104	0.076
8016	"ENSG00000173559.12"	"NABP1"	chr2	+	191683289	191683804	191683728	191683804	191682491	191682595	8016	36,88,95	10,18,20	9,14,82	0,0,0	539	100	6.07958128285e-13	2.13839138989e-10	0.4,0.476,0.468	1.0,1.0,1.0	-0.552
2212	"ENSG00000153391.15"	"INO80C"	chr18	-	35487385	35487823	35487385	35487439	35489331	35489385	2212	8,4,9	0,0,0	9,7,5	2,5,3	484	100	9.6300745156e-13	3.17551707152e-10	1.0,1.0,1.0	0.482,0.224,0.256	0.679
2882	"ENSG00000182196.13"	"ARL6IP4"	chr12	+	122981570	122981879	122981594	122981879	122981128	122981266	2882	14,7,23	110,81,116	66,50,49	131,53,78	124	100	1.1812772982e-12	3.66612883841e-10	0.093,0.065,0.138	0.289,0.432,0.336	-0.254
2721	"ENSG00000204628.11"	"RACK1"	chr5	-	181236936	181237319	181236936	181237042	181237608	181237719	2721	166,138,87	2465,2119,1847	141,135,259	1625,940,1543	377	100	1.2535528171e-12	3.67430259057e-10	0.018,0.017,0.012	0.022,0.037,0.043	-0.018
7163	"ENSG00000102858.12"	"MGRN1"	chr16	+	4686258	4690974	4688795	4690974	4683842	4683932	7163	22,14,20	14,3,2	150,188,116	2,3,1	2637	100	1.35191857709e-12	3.75406442775e-10	0.056,0.15,0.275	0.74,0.704,0.815	-0.593
